name,committee,role,order,img_path
Leo Lahti,,Chair,1,Leo Lahti.jpg
Tuomas Borman,,Local chair,2,Tuomas Borman.jpeg
Annekathrin Nedwed,,,NA,Annekathrin Nedwed.png
Charlotte Soneson,,Scientific program,NA,Charlotte Soneson.jpg
Dania Machlab,,,NA,Dania Machlab.jpg
Dario Righelli,,,NA,Dario Righelli.jpg
Eliana Ibrahimi,,,NA,Eliana Ibrahimi.png
Federico Marini,,,NA,Federico Marini.png
James Dalgleish,,,NA,James Dalgleish.png
Kevin Rue-Albrecht,,,NA,Kevin Rue-Albrecht.jpg
Laurent Gatto,,,NA,Laurent Gatto.jpg
Lieven Clement,,,NA,Lieven Clement.jpeg
Maria Doyle,,Communications,NA,Maria Doyle.jpeg
Michael Stadler,,,NA,Michael Stadler.jpg
Najla Abassi,,,NA,Najla Abassi.jpg
Nyasita Laurah Ondari,,Communications,NA,laurah.png
Robert Castelo,,,NA,Robert Castelo.jpeg
Robert Ivánek,,,NA,Robert Ivanek.jpg
Nicholas Cooley,,Hackathon,NA,Nicholas_Cooley.jpeg
Michael Love,,,NA,Michael_Love.jpeg
Mark Robinson,,,NA,Mark_Robinson.jpg
Julia Mathlin,,Local organizer,NA,julia_mathlin.jpeg
Teemu Daniel Laajala,,Local organizer,NA,TDLaajala.jpg
Anna Kaisanlahti,,Local organizer,NA,anna_kaisanlahti.jpg
Miina Vulli,,Local organizer,NA,NA
Akewak Jeba,,Website,NA,Akewak Jeba.jpeg
