name,link,lat,lng,type
Luostarinmäki,https://en.wikipedia.org/wiki/Luostarinm%C3%A4kii,60.4477180630102,22.2766275233901,attraction
Market Hall,https://en.wikipedia.org/wiki/Turku_Market_Hall,60.4497194956919,22.2660948175219,attraction
Market Square,"https://en.wikipedia.org/wiki/Market_Square,_Turku",60.4517470738827,22.2669435254847,attraction
Old Great Square,https://en.wikipedia.org/wiki/Old_Great_Square_(Turku),60.4506951644711,22.2757732473731,attraction
Paavo Nurmi statue,https://en.wikipedia.org/wiki/Paavo_Nurmi_statue,60.4479769040043,22.270034469119,attraction
Turku Cathedral,https://en.wikipedia.org/wiki/Turku_Cathedral,60.452482958067,22.2783144628437,attraction
University Hill,https://en.wikipedia.org/wiki/University_of_Turku,60.4545165736554,22.2844489145254,attraction
Vähätori,NA,60.4512708499933,22.2730379821332,attraction
Mantun Grilli,https://www.mantungrilli.fi/,60.4477973198549,22.2705475768947,restaurant
Oobu,https://www.oobu.fi/eng/home.html,60.4490178364111,22.2695212596224,restaurant
River Boats,,60.4480692626157,22.268015417087,restaurant
Turku City Hall,,60.4487923655831,22.2685487439962,attraction
Turku Cathedral Terrace,https://kirkkopuistonterassi.com/,60.4522149343997,22.2763647311574,restaurant
Hesburger,https://www.hesburger.com/,60.4519842593175,22.2684834662788,restaurant
"

Brewery Restaurant Koulu",https://www.panimoravintolakoulu.fi/?lang=en,60.4497792794432,22.26439864726,restaurant
1,,60.4517362094584,22.27744553816,route
2,,60.4519653021975,22.2758700284711,route
3,,60.4517372900892,22.2753616581784,route
4,,60.451198051283,22.2754887507092,route
5,,60.4507204014174,22.2757604658723,route
6,,60.4500730773791,22.2744128462919,route
7,,60.4504545570393,22.2738255909234,route
8,,60.4480253225388,22.2701204035673,route
9,,60.4488415415931,22.2693640206709,route
10,,60.4514447212062,22.2734192367007,route
